Certification Course,Gender,Department,10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,willingness to pursue a career based on their degree,social media & video,Stress Level,Financial Status
No,Male,Civil Engineering,50,57,68.20020356147745,Cinema,3 - 4 hour,Night,575761,No,No,30 - 60 minute,Awful,Bad
Yes,Male,Economics,53,48,37.2501764553455,Cinema,2 - 3 hour,Night,635397,Yes,Yes,0 - 30 minute,Bad,Fabulous
No,Female,Environmental Science,74,81,17.386407105433136,Cinema,More Than 4 hour,Night,441660,Yes,Yes,30 - 60 minute,Awful,Bad
Yes,Male,Agriculture,48,79,33.182834685313,Cinema,30 - 60 minute,Night,634255,No,No,30 - 60 minute,Awful,good
Yes,Female,Law,15,72,48.77692582214952,Reading books,2 - 3 hour,Morning,757663,No,No,0 - 30 minute,Bad,Awful
No,Female,Agriculture,57,47,41.95834405519394,Sports,2 - 3 hour,Morning,509435,No,Yes,2 - 3 hour,Good,Fabulous
Yes,Male,Biotechnology,59,66,74.1094838689074,Video Games,2 - 3 hour,Night,741684,Yes,Yes,30 - 60 minute,Awful,Fabulous
No,Female,Electronics and Communication,27,80,44.133831166435485,Video Games,3 - 4 hour,Anytime,641777,Yes,Yes,3 - 4 hour,Bad,good
Yes,Male,Information Technology,12,61,87.18080746666996,Cinema,2 - 3 hour,Night,859095,No,Yes,0 - 30 minute,Bad,Fabulous
Yes,Female,Chemistry,88,46,33.415741954577044,Sports,1 - 2 Hour,Night,556685,Yes,Yes,30 - 60 minute,Good,Bad
No,Female,Biotechnology,50,92,3.9227514760981386,Reading books,0 - 30 minute,Night,525230,No,No,3 - 4 hour,Good,good
Yes,Male,Accounting,67,52,48.4330265370519,Cinema,0 - 30 minute,Night,690705,Yes,Yes,1 - 2 Hour,Bad,Awful
No,Female,Dance,48,77,16.852008604353337,Reading books,3 - 4 hour,Night,349009,Yes,Yes,30 - 60 minute,Good,Bad
No,Male,Political Science,9,80,24.976536640018107,Reading books,2 - 3 hour,Night,397545,Yes,Yes,1 - 2 Hour,Good,Fabulous
No,Male,Architecture,20,75,2.4699700511173712,Reading books,30 - 60 minute,Morning,470249,Yes,Yes,1 - 2 Hour,Bad,Fabulous
No,Male,Information Technology,96,48,17.42702394959241,Reading books,3 - 4 hour,Night,578860,Yes,No,1 - 2 Hour,Good,good
Yes,Female,Dance,78,68,49.27646034235098,Reading books,More Than 4 hour,Anytime,538619,Yes,Yes,1 - 2 Hour,Bad,Fabulous
Yes,Male,Pharmacy,90,63,86.6364047742951,Sports,0 - 30 minute,Night,729469,No,Yes,2 - 3 hour,Bad,good
No,Female,Sociology,22,57,57.74018085083855,Sports,2 - 3 hour,Morning,521878,No,No,3 - 4 hour,fabulous,Bad
Yes,Male,Biology,41,82,41.812042183057116,Cinema,2 - 3 hour,Morning,591993,Yes,Yes,2 - 3 hour,fabulous,Awful
Yes,Male,Information Technology,42,79,16.887575754991367,Cinema,More Than 4 hour,Anytime,674923,No,Yes,30 - 60 minute,Awful,Fabulous
No,Male,Architecture,74,90,32.03583812899507,Reading books,0 - 30 minute,Anytime,544613,Yes,No,1 - 2 Hour,Bad,Bad
Yes,Female,History,97,88,66.71183961916249,Video Games,0 - 30 minute,Night,539528,Yes,No,0 - 30 minute,Good,Awful
Yes,Male,Business Administration,72,89,62.164397940641344,Video Games,2 - 3 hour,Morning,693927,Yes,No,2 - 3 hour,fabulous,Fabulous
Yes,Female,Physics,53,80,78.2936969026679,Reading books,2 - 3 hour,Night,688424,No,Yes,3 - 4 hour,fabulous,Fabulous
Yes,Male,Business Administration,29,82,15.359384049873796,Reading books,0 - 30 minute,Morning,600580,Yes,Yes,3 - 4 hour,Good,good
No,Female,Information Technology,82,55,92.97774841350022,Cinema,1 - 2 Hour,Morning,738402,No,Yes,2 - 3 hour,Bad,Awful
No,Male,Information Technology,89,93,22.648871231134304,Reading books,2 - 3 hour,Anytime,633448,Yes,Yes,More Than 4 hour,fabulous,Fabulous
Yes,Male,Biotechnology,61,83,5.45301039962615,Cinema,More Than 4 hour,Anytime,615515,No,Yes,0 - 30 minute,Bad,Fabulous
Yes,Female,Business Administration,95,75,8.93291257771799,Cinema,1 - 2 Hour,Morning,593767,No,Yes,1 - 2 Hour,fabulous,Fabulous
Yes,Female,Business Administration,13,53,79.26932224434627,Sports,More Than 4 hour,Night,747643,No,Yes,3 - 4 hour,Bad,Bad
Yes,Male,Computer Science,28,59,60.812493906118405,Reading books,1 - 2 Hour,Anytime,817257,Yes,Yes,3 - 4 hour,Good,Fabulous
Yes,Female,Information Technology,30,70,84.31216659005916,Video Games,3 - 4 hour,Morning,827871,Yes,Yes,3 - 4 hour,Awful,good
No,Female,Biotechnology,93,45,69.21076039206353,Video Games,2 - 3 hour,Anytime,581479,No,Yes,More Than 4 hour,Bad,good
Yes,Female,Information Technology,50,46,93.14588644432985,Sports,1 - 2 Hour,Anytime,886571,Yes,Yes,1 - 2 Hour,fabulous,Fabulous
No,Male,English Literature,32,50,66.56355325221374,Sports,1 - 2 Hour,Anytime,478430,No,No,1 - 2 Hour,fabulous,Fabulous
No,Female,Business Administration,46,54,40.787122408603075,Video Games,1 - 2 Hour,Night,603798,Yes,Yes,2 - 3 hour,Good,Awful
No,Female,Sociology,27,60,17.960836582726216,Video Games,2 - 3 hour,Anytime,402526,Yes,Yes,0 - 30 minute,Bad,good
No,Male,Physical Education,78,86,35.953314153457015,Cinema,2 - 3 hour,Anytime,386726,No,No,0 - 30 minute,Bad,Bad
Yes,Female,Civil Engineering,40,61,50.204121230466974,Sports,3 - 4 hour,Anytime,693527,No,Yes,1 - 2 Hour,Good,good
No,Male,Mathematics,45,51,15.423905867187026,Video Games,1 - 2 Hour,Morning,432321,Yes,No,0 - 30 minute,Good,good
No,Female,Law,57,49,6.690189915384917,Video Games,More Than 4 hour,Night,511183,Yes,No,0 - 30 minute,Good,Fabulous
Yes,Female,Pharmacy,94,48,88.08923133805243,Reading books,30 - 60 minute,Anytime,799578,Yes,No,2 - 3 hour,Good,Awful
Yes,Male,Mathematics,94,89,3.4994220900948485,Video Games,More Than 4 hour,Night,526505,No,Yes,More Than 4 hour,fabulous,Bad
Yes,Male,Fine Arts,78,80,81.40260938252943,Video Games,More Than 4 hour,Night,557545,No,Yes,30 - 60 minute,Good,Fabulous
No,Female,Fine Arts,38,82,88.1559019411151,Sports,3 - 4 hour,Night,530251,No,Yes,More Than 4 hour,Awful,good
Yes,Male,History,42,67,92.15975578527112,Video Games,2 - 3 hour,Night,667537,Yes,No,0 - 30 minute,Awful,Fabulous
No,Female,English Literature,11,71,14.111314599604246,Reading books,30 - 60 minute,Anytime,368329,Yes,Yes,2 - 3 hour,Good,Fabulous
No,Male,Pharmacy,91,68,35.390520604674066,Video Games,1 - 2 Hour,Anytime,530112,No,Yes,More Than 4 hour,Bad,Bad
No,Female,Psychology,50,47,73.27610695434997,Reading books,2 - 3 hour,Morning,529008,Yes,No,More Than 4 hour,Awful,Fabulous
No,Male,Political Science,68,74,53.04205637916251,Video Games,3 - 4 hour,Morning,441328,No,Yes,3 - 4 hour,Awful,good
No,Female,History,37,56,68.07710345873207,Cinema,More Than 4 hour,Night,514039,Yes,Yes,30 - 60 minute,Bad,Awful
No,Female,Mechanical Engineering,62,81,27.18610484321851,Reading books,30 - 60 minute,Night,590823,Yes,No,30 - 60 minute,Awful,Bad
No,Male,Information Technology,84,83,32.178664211210645,Sports,3 - 4 hour,Night,640560,No,Yes,3 - 4 hour,fabulous,Bad
Yes,Female,Music,39,71,54.98092741072488,Sports,0 - 30 minute,Night,533731,Yes,Yes,30 - 60 minute,fabulous,good
No,Female,Biology,66,60,49.82490853170334,Video Games,30 - 60 minute,Anytime,478972,No,Yes,3 - 4 hour,Good,Fabulous
No,Female,History,43,47,15.629629084065327,Video Games,3 - 4 hour,Anytime,416059,Yes,Yes,1 - 2 Hour,fabulous,Awful
No,Female,Accounting,20,45,60.298548406345475,Sports,0 - 30 minute,Morning,649660,Yes,Yes,3 - 4 hour,Bad,Bad
No,Male,History,97,77,4.639117229481744,Cinema,More Than 4 hour,Night,390618,No,Yes,More Than 4 hour,Bad,Awful
No,Male,Computer Science,85,67,83.23387670562293,Cinema,2 - 3 hour,Anytime,740355,No,Yes,30 - 60 minute,Awful,Awful
No,Male,Fine Arts,46,64,21.638774973393552,Reading books,More Than 4 hour,Night,330580,Yes,Yes,3 - 4 hour,Bad,Fabulous
Yes,Female,Political Science,22,61,25.553046748967553,Sports,3 - 4 hour,Morning,565069,No,Yes,0 - 30 minute,Good,Fabulous
Yes,Male,Fine Arts,47,55,1.0323203429136454,Video Games,1 - 2 Hour,Morning,435231,No,Yes,2 - 3 hour,fabulous,Awful
No,Male,Agriculture,51,84,59.09670529313168,Cinema,More Than 4 hour,Anytime,550927,Yes,Yes,1 - 2 Hour,fabulous,Bad
No,Male,Psychology,8,77,47.02808415613122,Cinema,30 - 60 minute,Anytime,476505,No,Yes,2 - 3 hour,Bad,Fabulous
Yes,Male,Biology,48,83,59.21677479674809,Reading books,More Than 4 hour,Morning,638004,No,Yes,3 - 4 hour,fabulous,good
No,Female,Agriculture,63,78,29.921797813832185,Reading books,More Than 4 hour,Morning,450235,Yes,No,1 - 2 Hour,Bad,Fabulous
No,Male,Fine Arts,64,85,6.363484660133947,Cinema,2 - 3 hour,Anytime,332840,No,Yes,30 - 60 minute,Bad,Awful
Yes,Male,Physical Education,22,79,92.98828014603919,Cinema,3 - 4 hour,Night,655666,No,No,3 - 4 hour,Bad,Bad
Yes,Male,Law,85,89,32.09347197762749,Cinema,0 - 30 minute,Morning,742745,Yes,Yes,30 - 60 minute,Awful,Awful
No,Male,Civil Engineering,56,72,3.395442625656708,Reading books,0 - 30 minute,Anytime,502389,No,Yes,2 - 3 hour,Good,Awful
Yes,Male,Architecture,40,68,84.03108148805269,Reading books,3 - 4 hour,Night,758779,No,Yes,2 - 3 hour,Good,Awful
Yes,Female,Electrical Engineering,83,81,85.13011313769603,Sports,2 - 3 hour,Anytime,759821,No,Yes,1 - 2 Hour,Bad,good
No,Female,Dance,23,58,74.11596177723183,Sports,More Than 4 hour,Morning,429369,Yes,No,3 - 4 hour,fabulous,Bad
Yes,Male,Civil Engineering,44,81,35.15387505735121,Sports,30 - 60 minute,Night,627080,Yes,Yes,More Than 4 hour,Bad,good
No,Female,English Literature,57,56,63.972779048560916,Reading books,More Than 4 hour,Night,452477,Yes,Yes,More Than 4 hour,Awful,Fabulous
Yes,Male,Dance,68,51,31.378854713671718,Sports,3 - 4 hour,Morning,522047,No,No,30 - 60 minute,Awful,Awful
No,Female,Mathematics,40,69,77.17140191201499,Reading books,30 - 60 minute,Anytime,550389,Yes,No,3 - 4 hour,Bad,good
Yes,Male,Law,64,55,86.1550560195272,Reading books,More Than 4 hour,Night,762523,Yes,No,2 - 3 hour,Awful,Awful
Yes,Male,Physics,68,49,36.74222184011681,Reading books,More Than 4 hour,Night,546079,Yes,Yes,2 - 3 hour,fabulous,Awful
No,Male,Pharmacy,89,85,29.377537068800898,Video Games,30 - 60 minute,Anytime,581544,Yes,Yes,2 - 3 hour,Awful,Fabulous
No,Female,Electronics and Communication,12,73,35.24654359203178,Cinema,3 - 4 hour,Morning,665400,Yes,No,0 - 30 minute,fabulous,Bad
No,Male,Environmental Science,52,72,24.592063778921947,Cinema,30 - 60 minute,Morning,398731,No,Yes,1 - 2 Hour,Awful,Fabulous
Yes,Female,Fine Arts,35,46,71.22385954121827,Video Games,3 - 4 hour,Night,577489,Yes,Yes,30 - 60 minute,fabulous,Bad
Yes,Male,Fine Arts,64,59,76.86816051406147,Reading books,3 - 4 hour,Night,544753,Yes,Yes,3 - 4 hour,Awful,good
No,Female,Dance,69,77,85.46881439530651,Video Games,1 - 2 Hour,Night,449226,No,Yes,30 - 60 minute,fabulous,Bad
No,Male,Chemistry,82,50,75.24561260803074,Cinema,More Than 4 hour,Anytime,586727,Yes,Yes,3 - 4 hour,Bad,Fabulous
No,Male,Psychology,26,84,85.76642855659051,Video Games,2 - 3 hour,Night,503812,Yes,Yes,1 - 2 Hour,Awful,good
Yes,Male,Physical Education,45,91,18.084666062215575,Sports,30 - 60 minute,Morning,481395,Yes,Yes,0 - 30 minute,fabulous,Fabulous
Yes,Female,Electronics and Communication,36,64,81.35050913883558,Sports,30 - 60 minute,Night,798842,Yes,No,0 - 30 minute,Awful,Bad
Yes,Male,Music,49,72,57.62239429584734,Cinema,More Than 4 hour,Morning,488828,Yes,Yes,2 - 3 hour,Awful,Fabulous
Yes,Female,Law,55,57,26.79057782502722,Video Games,1 - 2 Hour,Anytime,710284,No,Yes,1 - 2 Hour,Awful,Awful
No,Male,Library Science,13,74,51.795509738798195,Video Games,3 - 4 hour,Night,412430,No,No,2 - 3 hour,Awful,Fabulous
Yes,Male,Biotechnology,38,49,98.58954952978522,Reading books,30 - 60 minute,Anytime,814963,No,Yes,3 - 4 hour,Awful,Awful
No,Female,Business Administration,55,73,98.9911112108351,Video Games,0 - 30 minute,Anytime,685354,Yes,Yes,0 - 30 minute,Bad,Fabulous
No,Female,Civil Engineering,53,45,75.85620645953736,Cinema,0 - 30 minute,Anytime,620712,Yes,No,0 - 30 minute,fabulous,Bad
Yes,Male,Information Technology,16,93,53.48218330267583,Reading books,3 - 4 hour,Night,835464,No,Yes,1 - 2 Hour,Awful,Awful
No,Female,Business Administration,24,60,24.317595643198295,Video Games,30 - 60 minute,Night,544534,No,No,2 - 3 hour,fabulous,Awful
No,Female,Mechanical Engineering,63,68,69.73521644969502,Cinema,30 - 60 minute,Anytime,591546,No,Yes,3 - 4 hour,fabulous,good
No,Male,Political Science,53,64,91.44541440732125,Video Games,0 - 30 minute,Anytime,582447,No,Yes,0 - 30 minute,Awful,good
Yes,Male,Computer Science,39,51,33.03004378578774,Cinema,0 - 30 minute,Night,763902,Yes,Yes,3 - 4 hour,Bad,good
No,Female,Political Science,91,81,22.60367432799855,Video Games,2 - 3 hour,Night,383423,No,Yes,0 - 30 minute,fabulous,Bad
No,Female,Computer Science,56,67,18.878205940557258,Sports,2 - 3 hour,Anytime,627687,Yes,No,3 - 4 hour,Awful,Awful
No,Male,Pharmacy,23,52,53.79282105495807,Reading books,30 - 60 minute,Morning,558688,No,Yes,More Than 4 hour,Bad,good
No,Male,Biology,51,85,58.67918891645587,Cinema,More Than 4 hour,Night,566611,No,Yes,2 - 3 hour,fabulous,Fabulous
Yes,Female,Music,76,76,90.52594630325807,Video Games,2 - 3 hour,Night,594132,Yes,Yes,3 - 4 hour,Awful,good
Yes,Female,Civil Engineering,90,72,57.61876744099076,Video Games,3 - 4 hour,Morning,735937,No,Yes,1 - 2 Hour,fabulous,Awful
Yes,Male,Music,12,88,72.4456274971597,Video Games,2 - 3 hour,Night,576073,Yes,Yes,More Than 4 hour,Good,Awful
No,Male,Law,58,66,24.706864968249583,Video Games,More Than 4 hour,Morning,575839,No,No,More Than 4 hour,Bad,Awful
No,Male,English Literature,77,48,73.84923056306307,Sports,1 - 2 Hour,Morning,505938,Yes,Yes,0 - 30 minute,fabulous,Fabulous
Yes,Male,Architecture,75,66,55.784606199720955,Cinema,2 - 3 hour,Morning,686798,Yes,Yes,More Than 4 hour,fabulous,Fabulous
Yes,Female,Psychology,90,86,64.07974718086464,Cinema,More Than 4 hour,Night,588292,Yes,Yes,30 - 60 minute,fabulous,Fabulous
Yes,Female,Electrical Engineering,85,72,47.457751729754406,Cinema,2 - 3 hour,Night,673080,Yes,No,3 - 4 hour,Bad,Fabulous
Yes,Male,Architecture,44,59,43.73929790698986,Video Games,1 - 2 Hour,Anytime,729079,Yes,Yes,0 - 30 minute,Bad,Awful
Yes,Male,Commerce,77,57,67.67102545518064,Video Games,1 - 2 Hour,Morning,600955,No,No,More Than 4 hour,Bad,Bad
Yes,Female,Physical Education,78,73,40.85608061140934,Sports,2 - 3 hour,Morning,487724,No,Yes,0 - 30 minute,Good,good
No,Female,Economics,77,89,87.45601853726016,Reading books,3 - 4 hour,Night,603937,Yes,Yes,30 - 60 minute,Awful,good
Yes,Female,Architecture,25,62,28.049169156187084,Reading books,More Than 4 hour,Anytime,639484,No,Yes,1 - 2 Hour,Awful,good
No,Female,Dance,30,61,47.66448672396712,Sports,More Than 4 hour,Morning,406039,No,Yes,More Than 4 hour,Bad,Fabulous
Yes,Female,Business Administration,44,87,71.2366794139948,Cinema,30 - 60 minute,Morning,704385,No,No,30 - 60 minute,Good,Awful
No,Male,Civil Engineering,8,78,49.1017192034227,Video Games,More Than 4 hour,Night,536395,No,Yes,More Than 4 hour,Bad,Fabulous
Yes,Male,Commerce,50,62,79.36466746649847,Reading books,0 - 30 minute,Anytime,649792,Yes,Yes,1 - 2 Hour,Awful,Awful
No,Male,Business Administration,56,57,45.675624560742584,Video Games,2 - 3 hour,Morning,601728,No,No,30 - 60 minute,Awful,Awful
No,Female,Chemistry,95,55,37.42766976382481,Reading books,1 - 2 Hour,Night,503712,Yes,No,0 - 30 minute,Bad,Bad
Yes,Female,Fine Arts,44,89,67.00481154195188,Sports,3 - 4 hour,Night,526406,Yes,Yes,0 - 30 minute,Good,Bad
No,Male,Dance,53,89,91.70893182842558,Reading books,2 - 3 hour,Anytime,517246,Yes,Yes,More Than 4 hour,Bad,Fabulous
No,Female,Accounting,20,67,51.37769742095114,Video Games,0 - 30 minute,Morning,533855,No,No,30 - 60 minute,Bad,good
No,Male,Physics,51,90,68.53013160102756,Reading books,3 - 4 hour,Night,527242,Yes,Yes,0 - 30 minute,Good,Bad
No,Male,Electrical Engineering,66,76,47.609233574221136,Video Games,2 - 3 hour,Night,608586,No,No,2 - 3 hour,fabulous,good
No,Male,Pharmacy,51,67,3.0143145099769195,Reading books,1 - 2 Hour,Morning,537490,Yes,No,2 - 3 hour,Awful,good
No,Female,Architecture,86,81,13.248067204369441,Sports,1 - 2 Hour,Morning,583292,Yes,Yes,0 - 30 minute,fabulous,Awful
No,Male,English Literature,12,46,46.19946758917827,Cinema,More Than 4 hour,Anytime,477834,Yes,Yes,1 - 2 Hour,fabulous,Bad
Yes,Male,Electronics and Communication,17,74,66.9362485871783,Cinema,0 - 30 minute,Morning,788552,Yes,Yes,More Than 4 hour,Awful,Bad
No,Male,Accounting,55,49,52.8677032139971,Sports,30 - 60 minute,Morning,601669,Yes,No,30 - 60 minute,Good,Bad
Yes,Female,Biotechnology,68,89,31.297846270806694,Video Games,30 - 60 minute,Morning,609902,No,Yes,More Than 4 hour,Good,good
No,Male,English Literature,23,87,36.1150542126411,Sports,3 - 4 hour,Morning,379677,Yes,No,More Than 4 hour,Awful,Awful
No,Female,Political Science,84,74,74.56561513079876,Reading books,0 - 30 minute,Night,551429,No,No,3 - 4 hour,Awful,Fabulous
No,Male,Law,94,50,39.461488279867375,Video Games,3 - 4 hour,Night,561208,Yes,No,2 - 3 hour,Awful,Bad
Yes,Male,Music,29,65,10.737739631574508,Cinema,More Than 4 hour,Morning,443792,No,Yes,0 - 30 minute,fabulous,good
No,Male,Dance,13,45,11.8353793222438,Sports,More Than 4 hour,Morning,288921,Yes,No,0 - 30 minute,Bad,Fabulous
No,Female,Physics,60,82,55.458768598296324,Video Games,3 - 4 hour,Night,578823,Yes,Yes,0 - 30 minute,Bad,Awful
No,Female,Computer Science,97,73,37.53172572771,Cinema,1 - 2 Hour,Morning,688201,Yes,Yes,More Than 4 hour,fabulous,Fabulous
No,Male,Physical Education,70,45,30.226806792532802,Reading books,More Than 4 hour,Night,388837,Yes,Yes,More Than 4 hour,Bad,good
Yes,Female,Fine Arts,75,71,3.287082324622085,Sports,2 - 3 hour,Morning,469256,No,Yes,More Than 4 hour,Bad,Awful
Yes,Female,History,38,91,38.58625766667709,Video Games,0 - 30 minute,Anytime,485774,Yes,Yes,2 - 3 hour,fabulous,Fabulous
No,Female,Chemistry,20,83,91.1333718659756,Cinema,More Than 4 hour,Anytime,565982,No,Yes,More Than 4 hour,Awful,Bad
Yes,Male,Psychology,19,83,35.92316328489931,Reading books,More Than 4 hour,Morning,600394,Yes,Yes,2 - 3 hour,Good,Bad
No,Female,Agriculture,13,52,18.994869441501468,Video Games,30 - 60 minute,Morning,478198,Yes,Yes,0 - 30 minute,Awful,Fabulous
No,Female,Chemistry,64,90,65.84719960838363,Cinema,2 - 3 hour,Night,597538,Yes,Yes,30 - 60 minute,Good,good
Yes,Male,Pharmacy,20,92,34.76386242274346,Reading books,1 - 2 Hour,Night,691716,Yes,Yes,30 - 60 minute,fabulous,good
No,Female,Commerce,86,67,69.4096022134114,Sports,2 - 3 hour,Night,533772,No,Yes,More Than 4 hour,Bad,Awful
Yes,Male,History,74,83,70.0692871220332,Reading books,1 - 2 Hour,Anytime,603417,No,Yes,More Than 4 hour,fabulous,Awful
Yes,Male,Computer Science,29,83,52.07916954026368,Reading books,1 - 2 Hour,Night,823907,No,Yes,3 - 4 hour,Good,Fabulous
Yes,Female,Environmental Science,62,66,86.03758389321263,Reading books,More Than 4 hour,Morning,652654,Yes,No,30 - 60 minute,fabulous,Awful
No,Male,Electrical Engineering,85,60,21.128158066372244,Cinema,3 - 4 hour,Anytime,533399,Yes,Yes,1 - 2 Hour,Awful,Fabulous
Yes,Female,Chemistry,97,61,4.646183820605682,Sports,3 - 4 hour,Anytime,541551,Yes,Yes,3 - 4 hour,fabulous,Awful
No,Male,Pharmacy,39,78,12.057991708879058,Video Games,1 - 2 Hour,Night,551667,No,Yes,30 - 60 minute,Good,Fabulous
No,Female,Chemistry,43,81,52.575916488688975,Video Games,3 - 4 hour,Anytime,558239,No,No,3 - 4 hour,Good,Bad
Yes,Male,Architecture,34,72,88.9913143252664,Video Games,30 - 60 minute,Night,777791,No,Yes,0 - 30 minute,Bad,good
No,Female,Environmental Science,49,69,15.203893199254063,Cinema,0 - 30 minute,Night,464983,No,Yes,30 - 60 minute,Awful,Awful
No,Male,Economics,59,78,4.338046186622652,Video Games,0 - 30 minute,Night,429786,Yes,Yes,More Than 4 hour,Awful,Fabulous
No,Female,Physical Education,17,50,56.58541388976979,Sports,1 - 2 Hour,Night,465456,Yes,Yes,3 - 4 hour,Bad,Bad
No,Female,Biotechnology,43,77,91.16935857744002,Sports,More Than 4 hour,Night,678928,Yes,Yes,30 - 60 minute,Bad,Fabulous
No,Male,Psychology,63,65,20.337748784590474,Reading books,3 - 4 hour,Night,438261,No,No,1 - 2 Hour,Good,Fabulous
No,Male,Environmental Science,72,73,61.183658028961545,Video Games,More Than 4 hour,Night,478366,No,Yes,3 - 4 hour,Bad,Awful
No,Female,Mechanical Engineering,65,72,56.163815328091204,Video Games,1 - 2 Hour,Night,633032,No,Yes,3 - 4 hour,Bad,Fabulous
No,Female,Information Technology,13,80,11.464953684684012,Video Games,30 - 60 minute,Anytime,649297,No,Yes,3 - 4 hour,Bad,Bad
No,Female,Chemistry,43,45,9.533545962646178,Cinema,2 - 3 hour,Night,407254,No,No,30 - 60 minute,Good,good
No,Male,Computer Science,17,48,30.158303364827436,Cinema,30 - 60 minute,Night,664050,No,Yes,More Than 4 hour,Awful,Bad
Yes,Male,Commerce,60,70,93.96262384783032,Sports,30 - 60 minute,Anytime,724294,Yes,Yes,More Than 4 hour,fabulous,Fabulous
No,Male,History,9,53,7.259758406353123,Video Games,2 - 3 hour,Morning,352805,Yes,No,More Than 4 hour,fabulous,Fabulous
Yes,Male,Architecture,19,67,41.62370153220781,Sports,0 - 30 minute,Anytime,678918,Yes,Yes,30 - 60 minute,Bad,good
No,Female,Dance,48,46,21.36062050079906,Video Games,1 - 2 Hour,Morning,373553,Yes,No,0 - 30 minute,Awful,Bad
No,Male,Mechanical Engineering,41,63,66.89645655650224,Sports,More Than 4 hour,Night,628277,No,No,0 - 30 minute,Good,good
No,Female,Physical Education,40,63,73.19646054586151,Video Games,0 - 30 minute,Night,456537,Yes,No,More Than 4 hour,Awful,good
No,Male,Pharmacy,97,83,92.79296883792841,Cinema,1 - 2 Hour,Night,704098,No,Yes,3 - 4 hour,Awful,Awful
No,Male,Physical Education,64,45,10.401201049558324,Sports,More Than 4 hour,Morning,368001,Yes,No,2 - 3 hour,Bad,Fabulous
No,Male,Mechanical Engineering,21,76,68.3483245272486,Cinema,2 - 3 hour,Anytime,649853,Yes,No,2 - 3 hour,Awful,Bad
Yes,Female,Mechanical Engineering,12,55,97.55341713299639,Video Games,1 - 2 Hour,Anytime,750840,No,No,More Than 4 hour,Awful,Awful
No,Female,History,69,68,43.76830485252279,Sports,30 - 60 minute,Morning,472551,No,Yes,More Than 4 hour,Awful,good
Yes,Female,Environmental Science,25,83,53.61292718638749,Cinema,2 - 3 hour,Anytime,646745,Yes,Yes,30 - 60 minute,Awful,good
No,Female,Dance,70,81,26.414542057476414,Sports,3 - 4 hour,Night,409979,Yes,No,0 - 30 minute,Awful,good
No,Male,English Literature,86,72,5.935987808725565,Reading books,1 - 2 Hour,Morning,396730,Yes,No,More Than 4 hour,Awful,Fabulous
Yes,Female,Biotechnology,82,49,94.69713126102846,Sports,More Than 4 hour,Morning,723316,No,No,2 - 3 hour,Awful,Bad
Yes,Male,Architecture,66,52,84.19539537023984,Cinema,1 - 2 Hour,Night,826863,No,Yes,30 - 60 minute,Good,Fabulous
No,Male,Agriculture,33,50,72.94763996960928,Reading books,2 - 3 hour,Night,556823,No,Yes,0 - 30 minute,Good,Awful
Yes,Female,Psychology,19,66,49.875950350206914,Cinema,1 - 2 Hour,Anytime,545620,Yes,Yes,3 - 4 hour,Awful,Awful
No,Male,Architecture,38,86,37.85682308866437,Reading books,More Than 4 hour,Night,604956,Yes,Yes,0 - 30 minute,fabulous,Bad
Yes,Female,Mechanical Engineering,45,72,43.21643857438424,Sports,3 - 4 hour,Night,695191,Yes,No,2 - 3 hour,fabulous,good
No,Female,English Literature,11,64,39.06736207749063,Sports,30 - 60 minute,Night,436997,Yes,No,0 - 30 minute,Good,good
No,Male,Economics,9,53,35.77736545869676,Cinema,3 - 4 hour,Night,568514,No,Yes,1 - 2 Hour,Good,Awful
Yes,Male,Civil Engineering,28,82,77.16543462308469,Cinema,3 - 4 hour,Anytime,713107,Yes,Yes,1 - 2 Hour,Awful,Fabulous
No,Female,Electrical Engineering,71,68,29.695544766038445,Reading books,1 - 2 Hour,Anytime,534891,Yes,Yes,30 - 60 minute,Bad,Fabulous
No,Male,Music,10,83,73.95991084329586,Video Games,1 - 2 Hour,Morning,478934,No,Yes,30 - 60 minute,Good,Bad
No,Female,Physical Education,45,85,8.634818695098238,Reading books,More Than 4 hour,Night,355036,No,Yes,30 - 60 minute,Awful,good
No,Female,Psychology,86,68,79.9374992707863,Cinema,2 - 3 hour,Night,521552,No,No,1 - 2 Hour,Good,good
Yes,Male,Pharmacy,95,64,71.99994570814559,Video Games,2 - 3 hour,Anytime,764531,Yes,No,More Than 4 hour,Awful,Fabulous
Yes,Male,Commerce,32,74,23.404483061469104,Cinema,30 - 60 minute,Morning,580620,No,No,0 - 30 minute,Awful,Awful
No,Male,Architecture,83,91,91.57075504924275,Cinema,3 - 4 hour,Morning,710330,No,Yes,30 - 60 minute,Awful,Bad
No,Male,Biotechnology,72,74,17.946009527756154,Video Games,3 - 4 hour,Morning,487585,Yes,Yes,2 - 3 hour,Awful,Fabulous
No,Female,Fine Arts,71,83,20.77319800169982,Cinema,More Than 4 hour,Night,381341,Yes,Yes,30 - 60 minute,Good,Fabulous
Yes,Male,Library Science,15,85,17.78673688321271,Video Games,0 - 30 minute,Morning,421468,No,Yes,2 - 3 hour,Bad,Awful
No,Male,Music,63,78,76.97061375602038,Sports,2 - 3 hour,Anytime,481236,Yes,No,2 - 3 hour,Awful,good
No,Male,Political Science,83,55,77.68498653327975,Video Games,0 - 30 minute,Night,557331,No,Yes,0 - 30 minute,Bad,good
